RowDate,RowTime,TotalLoad
01/01/2023,00:00,7546.56
01/01/2023,00:15,7419.53
01/01/2023,00:30,7299.98
01/01/2023,00:45,7246.50
01/01/2023,01:00,7223.97
01/01/2023,01:15,7103.94
01/01/2023,01:30,7056.67
01/01/2023,01:45,6947.10
01/01/2023,02:00,6895.73
01/01/2023,02:15,6843.02
01/01/2023,02:30,6781.46
01/01/2023,02:45,6760.56
01/01/2023,03:00,6670.86
01/01/2023,03:15,6576.08
01/01/2023,03:30,6639.38
01/01/2023,03:45,6467.58
01/01/2023,04:00,6432.72
01/01/2023,04:15,6437.37
01/01/2023,04:30,6440.11
01/01/2023,04:45,6412.68
01/01/2023,05:00,6491.17
01/01/2023,05:15,6435.22
01/01/2023,05:30,6458.72
01/01/2023,05:45,6472.43
01/01/2023,06:00,6596.10
01/01/2023,06:15,6655.10
01/01/2023,06:30,6645.43
01/01/2023,06:45,6639.63
01/01/2023,07:00,6644.60
01/01/2023,07:15,6698.09
01/01/2023,07:30,6745.49
01/01/2023,07:45,6775.55
01/01/2023,08:00,6813.49
01/01/2023,08:15,6845.05
01/01/2023,08:30,6837.62
01/01/2023,08:45,6815.68
01/01/2023,09:00,6946.11
01/01/2023,09:15,6940.18
01/01/2023,09:30,7052.08
01/01/2023,09:45,7094.03
01/01/2023,10:00,7238.44
01/01/2023,10:15,7270.90
01/01/2023,10:30,7396.15
01/01/2023,10:45,7464.28
01/01/2023,11:00,7677.41
01/01/2023,11:15,7866.07
01/01/2023,11:30,8056.50
01/01/2023,11:45,8167.28
01/01/2023,12:00,7989.46
01/01/2023,12:15,8140.18
01/01/2023,12:30,7777.40
01/01/2023,12:45,7649.09
01/01/2023,13:00,7673.74
01/01/2023,13:15,7560.16
01/01/2023,13:30,7595.84
01/01/2023,13:45,7567.10
01/01/2023,14:00,7769.15
01/01/2023,14:15,7793.89
01/01/2023,14:30,7694.91
01/01/2023,14:45,7558.44
01/01/2023,15:00,7514.03
01/01/2023,15:15,7474.45
01/01/2023,15:30,7453.09
01/01/2023,15:45,7441.63
01/01/2023,16:00,7562.65
01/01/2023,16:15,7673.80
01/01/2023,16:30,7780.35
01/01/2023,16:45,8022.03
01/01/2023,17:00,8097.66
01/01/2023,17:15,8093.88
01/01/2023,17:30,8210.23
01/01/2023,17:45,8240.35
01/01/2023,18:00,8326.24
01/01/2023,18:15,8289.23
01/01/2023,18:30,8338.69
01/01/2023,18:45,8404.76
01/01/2023,19:00,8284.24
01/01/2023,19:15,8141.57
01/01/2023,19:30,8033.99
01/01/2023,19:45,8124.06
01/01/2023,20:00,8054.67
01/01/2023,20:15,8011.21
01/01/2023,20:30,7983.20
01/01/2023,20:45,8000.57
01/01/2023,21:00,7907.03
01/01/2023,21:15,7784.39
01/01/2023,21:30,7777.67
01/01/2023,21:45,7637.10
01/01/2023,22:00,7720.54
01/01/2023,22:15,7942.87
01/01/2023,22:30,7789.37
01/01/2023,22:45,7574.73
01/01/2023,23:00,7632.55
01/01/2023,23:15,7545.99
01/01/2023,23:30,7600.52
01/01/2023,23:45,7485.41
01/01/2023,02:00*,
01/01/2023,02:15*,
01/01/2023,02:30*,
01/01/2023,02:45*,
02/01/2023,00:00,7446.13
02/01/2023,00:15,7176.37
02/01/2023,00:30,7080.46
02/01/2023,00:45,7034.60
02/01/2023,01:00,6886.04
02/01/2023,01:15,6707.05
02/01/2023,01:30,6614.21
02/01/2023,01:45,6513.62
02/01/2023,02:00,6288.83
02/01/2023,02:15,6254.57
02/01/2023,02:30,6202.96
02/01/2023,02:45,6143.48
02/01/2023,03:00,6205.81
02/01/2023,03:15,6211.57
02/01/2023,03:30,6202.96
02/01/2023,03:45,6180.29
02/01/2023,04:00,6225.28
02/01/2023,04:15,6288.70
02/01/2023,04:30,6316.74
02/01/2023,04:45,6413.13
02/01/2023,05:00,6582.06
02/01/2023,05:15,6746.12
02/01/2023,05:30,6738.73
02/01/2023,05:45,6783.73
02/01/2023,06:00,7054.73
02/01/2023,06:15,7517.29
02/01/2023,06:30,7671.48
02/01/2023,06:45,7748.27
02/01/2023,07:00,7649.03
02/01/2023,07:15,7749.94
02/01/2023,07:30,8048.97
02/01/2023,07:45,8047.94
02/01/2023,08:00,8370.41
02/01/2023,08:15,8727.84
02/01/2023,08:30,8647.48
