RowDate,RowTime,TotalLoadForecast
01/01/2023,00:00,7855.78
01/01/2023,00:15,7724.08
01/01/2023,00:30,7653.99
01/01/2023,00:45,7497.18
01/01/2023,01:00,7381.91
01/01/2023,01:15,7291.36
01/01/2023,01:30,7179.07
01/01/2023,01:45,7112.77
01/01/2023,02:00,7026.03
01/01/2023,02:15,6946.47
01/01/2023,02:30,6912.85
01/01/2023,02:45,6890.59
01/01/2023,03:00,6842.45
01/01/2023,03:15,6757.99
01/01/2023,03:30,6730.18
01/01/2023,03:45,6750.65
01/01/2023,04:00,6653.89
01/01/2023,04:15,6658.50
01/01/2023,04:30,6669.93
01/01/2023,04:45,6680.18
01/01/2023,05:00,6710.18
01/01/2023,05:15,6688.04
01/01/2023,05:30,6683.30
01/01/2023,05:45,6729.42
01/01/2023,06:00,6804.25
01/01/2023,06:15,6849.38
01/01/2023,06:30,6898.81
01/01/2023,06:45,6931.00
01/01/2023,07:00,6752.05
01/01/2023,07:15,6841.50
01/01/2023,07:30,6912.61
01/01/2023,07:45,6955.64
01/01/2023,08:00,7209.25
01/01/2023,08:15,7305.79
01/01/2023,08:30,7361.37
01/01/2023,08:45,7397.26
01/01/2023,09:00,7349.42
01/01/2023,09:15,7447.65
01/01/2023,09:30,7517.95
01/01/2023,09:45,7587.97
01/01/2023,10:00,7441.39
01/01/2023,10:15,7491.79
01/01/2023,10:30,7536.86
01/01/2023,10:45,7565.55
01/01/2023,11:00,7772.99
01/01/2023,11:15,7790.42
01/01/2023,11:30,7820.71
01/01/2023,11:45,7836.56
01/01/2023,12:00,8428.97
01/01/2023,12:15,8414.09
01/01/2023,12:30,8396.76
01/01/2023,12:45,8365.99
01/01/2023,13:00,8243.38
01/01/2023,13:15,8213.10
01/01/2023,13:30,8178.75
01/01/2023,13:45,8110.51
01/01/2023,14:00,7853.21
01/01/2023,14:15,7881.49
01/01/2023,14:30,7879.50
01/01/2023,14:45,7833.46
01/01/2023,15:00,7930.46
01/01/2023,15:15,7931.96
01/01/2023,15:30,7938.59
01/01/2023,15:45,7951.04
01/01/2023,16:00,7876.02
01/01/2023,16:15,7924.63
01/01/2023,16:30,7979.20
01/01/2023,16:45,8092.65
01/01/2023,17:00,8237.14
01/01/2023,17:15,8391.99
01/01/2023,17:30,8497.93
01/01/2023,17:45,8526.14
01/01/2023,18:00,8403.90
01/01/2023,18:15,8396.66
01/01/2023,18:30,8371.98
01/01/2023,18:45,8323.60
01/01/2023,19:00,8907.28
01/01/2023,19:15,8821.43
01/01/2023,19:30,8764.24
01/01/2023,19:45,8709.20
01/01/2023,20:00,8168.18
01/01/2023,20:15,8102.31
01/01/2023,20:30,8052.82
01/01/2023,20:45,8004.57
01/01/2023,21:00,8092.32
01/01/2023,21:15,8067.44
01/01/2023,21:30,7987.41
01/01/2023,21:45,7907.07
01/01/2023,22:00,8182.85
01/01/2023,22:15,8219.77
01/01/2023,22:30,8220.60
01/01/2023,22:45,8141.93
01/01/2023,23:00,8020.58
01/01/2023,23:15,7934.64
01/01/2023,23:30,7824.52
01/01/2023,23:45,7720.72
01/01/2023,02:00*,
01/01/2023,02:15*,
01/01/2023,02:30*,
01/01/2023,02:45*,
02/01/2023,00:00,7561.85
02/01/2023,00:15,7470.15
02/01/2023,00:30,7358.90
02/01/2023,00:45,7268.41
02/01/2023,01:00,7291.58
02/01/2023,01:15,7166.86
02/01/2023,01:30,7091.59
02/01/2023,01:45,7050.70
02/01/2023,02:00,6989.03
02/01/2023,02:15,6927.48
02/01/2023,02:30,6880.15
02/01/2023,02:45,6811.99
02/01/2023,03:00,6627.22
02/01/2023,03:15,6649.68
02/01/2023,03:30,6668.09
02/01/2023,03:45,6715.75
02/01/2023,04:00,6653.19
02/01/2023,04:15,6631.76
02/01/2023,04:30,6714.73
02/01/2023,04:45,6727.17
02/01/2023,05:00,6797.78
02/01/2023,05:15,6856.95
02/01/2023,05:30,6978.48
02/01/2023,05:45,7121.75
02/01/2023,06:00,7208.52
02/01/2023,06:15,7376.05
02/01/2023,06:30,7522.95
02/01/2023,06:45,7703.86
02/01/2023,07:00,8049.55
02/01/2023,07:15,8208.66
02/01/2023,07:30,8339.64
02/01/2023,07:45,8430.57
02/01/2023,08:00,8316.02
02/01/2023,08:15,8406.93
02/01/2023,08:30,8437.26
02/01/2023,08:45,8486.73
02/01/2023,09:00,9554.71
02/01/2023,09:15,9576.34
02/01/2023,09:30,9571.07
02/01/2023,09:45,9596.19
02/01/2023,10:00,9724.71
02/01/2023,10:15,9732.30
02/01/2023,10:30,9735.95
02/01/2023,10:45,9740.17
02/01/2023,11:00,9361.53
02/01/2023,11:15,9459.04
02/01/2023,11:30,9496.28
02/01/2023,11:45,9529.97
02/01/2023,12:00,9768.51
02/01/2023,12:15,9667.17
02/01/2023,12:30,9720.43
02/01/2023,12:45,9651.64
02/01/2023,13:00,9810.41
02/01/2023,13:15,9761.03
02/01/2023,13:30,9728.74
02/01/2023,13:45,9737.73
02/01/2023,14:00,9272.09
02/01/2023,14:15,9235.05
02/01/2023,14:30,9212.80
02/01/2023,14:45,9159.49
02/01/2023,15:00,9665.07
02/01/2023,15:15,9689.35
02/01/2023,15:30,9635.97
02/01/2023,15:45,9605.93
02/01/2023,16:00,9577.34
02/01/2023,16:15,9633.79
02/01/2023,16:30,9733.54
02/01/2023,16:45,9921.16
02/01/2023,17:00,10135.90
02/01/2023,17:15,10203.02
